ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
5356,5421,2022-11-01 07:00:00,2022-11-01 08:00:00,2022-11-01 10:00:00,2022-11-01 11:00:00,150.32,2573.53,2594,513,100,1,2081,513,393.42,991.97,2,24,387.680950647384,-0.0345428301722971,0.000582498768720346,-0.00000526547027544464,0.00000001922003851375,-0.0000000000235942851120814,391.346289073877,0.0191171385523606,-0.00000575554050703534,-0.000000918996589461152,0.00000000430857648220243,-0.00000000000541097329651229
5357,5422,2022-11-01 08:00:00,2022-11-01 09:00:00,2022-11-01 11:00:00,2022-11-01 12:00:00,131.82,2272.51,2297,474,100,1,1823,474,394.97,989.32,1,24,396.36988927193,-0.0216975529196126,0.000125111646999183,-0.00000168293863687098,0.00000000670395162327131,-0.00000000000799794556854975,393.176232701081,0.00960263022406416,0.0000441393321938671,-0.000000665110660710696,0.0000000021035438333526,-0.00000000000165536966777914
5358,5423,2022-11-01 09:00:00,2022-11-01 10:00:00,2022-11-01 12:00:00,2022-11-01 13:00:00,128.68,2202.92,2222,494,100,1,1728,494,393.69,991.22,2,24,390.32094817024,-0.0181959988760736,0.000171510369049639,-0.00000224442256965176,0.00000000962723031182302,-0.0000000000125573577951523,391.927322310928,0.0126364240801844,0.0000812896185429069,-0.00000162703007436647,0.00000000694744233180704,-0.0000000000088815430978742
5359,5424,2022-11-01 10:00:00,2022-11-01 11:00:00,2022-11-01 13:00:00,2022-11-01 14:00:00,150.83,2600.35,2623,572,100,1,2051,572,395.27,991.46,1,24,395.42776589979,-0.0196986239719482,0.000178379306246175,-0.0000025847150321472,0.0000000110654403408553,-0.0000000000144024178376879,393.670188855655,0.0120169459706263,0.0000683091177333336,-0.00000112635734185996,0.0000000039660791638182,-0.00000000000405364554344723
5360,5425,2022-11-01 11:00:00,2022-11-01 12:00:00,2022-11-01 14:00:00,2022-11-01 15:00:00,145.3,2487.53,2512,634,100,1,1878,634,394.69,990.3,2,24,390.286460838289,-0.0193198711817187,0.000202352065760538,-0.00000234874306385352,0.00000000965609365582449,-0.0000000000123832566630881,392.141754090419,0.0235714170140247,-0.0000767768538858326,0.0000000370420439687927,-0.0000000000986596446979533,0.000000000000924157521728747
5361,5426,2022-11-01 12:00:00,2022-11-01 13:00:00,2022-11-01 15:00:00,2022-11-01 16:00:00,164.29,2832.44,2859,674,100,1,2185,674,395.59,990.75,1,24,395.724097602844,-0.0113040250106887,-0.0000117410009999737,-0.00000106818385120681,0.00000000622663008170131,-0.0000000000089694872356204,394.256848151696,0.0154618750308962,-0.0000513735067101539,-0.000000190119005430056,0.000000000909623889996606,-0.00000000000037321721665859
5362,5427,2022-11-01 13:00:00,2022-11-01 14:00:00,2022-11-01 16:00:00,2022-11-01 17:00:00,165.79,2838.31,2864,805,100,1,2059,805,395.51,991.18,2,24,390.606487220378,-0.0184737919013772,0.000207504219138166,-0.00000231415972652985,0.0000000093243187380813,-0.0000000000116975428442134,393.622727959829,0.0243329262491063,-0.000200982099602557,0.000000988293646541652,-0.00000000298655882575506,0.00000000000421441024818484
5363,5428,2022-11-01 14:00:00,2022-11-01 15:00:00,2022-11-01 17:00:00,2022-11-01 18:00:00,179.27,3090.54,3119,832,100,1,2287,832,397.2,990.8,1,24,397.278561038202,-0.0185109134348804,0.000166269691866496,-0.00000229437473031174,0.00000000954770552204944,-0.0000000000120791713877113,395.897453896858,0.0111725550045884,-0.0000336727389810692,-0.0000000185980155455864,-0.000000000179439678893259,0.00000000000121880551219529
5364,5429,2022-11-01 15:00:00,2022-11-01 16:00:00,2022-11-01 18:00:00,2022-11-01 19:00:00,221.23,3787.39,3821,867,100,1,2954,867,399.22,991.08,2,24,395.608772283687,-0.0181048570574137,0.000144485138792347,-0.00000191623640392878,0.00000000836543376778816,-0.0000000000110661339570058,396.841583324765,0.0118436327210435,0.0000792365718752476,-0.000000992361595493209,0.00000000320236734390571,-0.00000000000302316207093983
5365,5430,2022-11-01 16:00:00,2022-11-01 17:00:00,2022-11-01 19:00:00,2022-11-01 20:00:00,231.53,3991.64,4031,1128,100,1,2903,1128,401.17,990.3,1,24,401.757420248179,-0.0284427200054789,0.000206492146942612,-0.00000272014739771246,0.0000000117852429171117,-0.0000000000156594129272772,398.583104423802,0.0087598911328594,0.0000930764052868748,-0.00000105982591305984,0.0000000037644146947115,-0.00000000000411434055691585
5366,5431,2022-11-01 17:00:00,2022-11-01 18:00:00,2022-11-01 20:00:00,2022-11-01 21:00:00,287.15,4915.94,4956,1525,100,1,3431,1525,403.18,992,2,24,396.220361154597,-0.0246971132862756,0.000353158566673395,-0.00000304760751762489,0.0000000106154936328406,-0.0000000000122505095493299,400.367517381821,0.0157432548937792,0.0000840746451756024,-0.00000102467020498472,0.00000000284269296932987,-0.00000000000193686621921911
5367,5432,2022-11-01 18:00:00,2022-11-01 19:00:00,2022-11-01 21:00:00,2022-11-01 22:00:00,261.18,4502.69,4543,1429,100,1,3114,1429,405.79,991.18,1,24,404.017399322833,-0.0252387537287464,0.000280681782507719,-0.00000293193741317164,0.0000000110467415281641,-0.0000000000133250013791671,403.553112124733,0.00660502303361939,0.000301122014866589,-0.0000031343704959903,0.0000000108223921751751,-0.0000000000122393409950843
5368,5433,2022-11-01 19:00:00,2022-11-01 20:00:00,2022-11-01 22:00:00,2022-11-01 23:00:00,248.21,4249.29,4284,1398,93,1,2886,1398,405.12,991.93,2,24,399.803146914826,-0.0231478475596887,0.000311687809995973,-0.00000293223259684134,0.0000000106887712108184,-0.0000000000126617254903009,402.88169401379,0.0109883516859276,0.000179218710846325,-0.00000216848290504046,0.00000000777546157467667,-0.00000000000885551328462608
5369,5434,2022-11-01 20:00:00,2022-11-01 21:00:00,2022-11-01 23:00:00,2022-11-02 00:00:00,260.85,4497.1,4541,1338,100,1,3203,1338,406.84,990.38,1,24,406.696608579668,-0.0239021942688453,0.000293164156812051,-0.00000359093830632496,0.0000000149579598032691,-0.0000000000197323218812918,404.763770436981,0.0146584889422828,-0.0000454384656060503,0.000000227095071132498,-0.00000000147765192831967,0.00000000000316368679996598
5370,5435,2022-11-01 21:00:00,2022-11-01 22:00:00,2022-11-02 00:00:00,2022-11-02 01:00:00,240.23,4112.7,4151,1228,100,1,2923,1228,406.66,990.81,2,24,401.039424194956,-0.0123676943532821,0.000150802969753304,-0.00000208606518844437,0.00000000900662518841793,-0.0000000000118365132934941,403.695716267309,0.0166630830625049,0.000132059283560322,-0.0000016569106393997,0.00000000536909966992853,-0.00000000000513570009499635
5371,5436,2022-11-01 22:00:00,2022-11-01 23:00:00,2022-11-02 01:00:00,2022-11-02 02:00:00,260.1,4484.17,4526,1372,100,1,3154,1372,408.73,990.79,1,24,407.469651161205,-0.0133255382092326,0.0000895563420281096,-0.00000187971223722089,0.00000000871326730488703,-0.000000000011613913664915,406.602394259755,0.00866680668291056,0.000169491408914876,-0.0000017700246452991,0.00000000570831154217548,-0.00000000000580153818595156
5372,5437,2022-11-01 23:00:00,2022-11-02 00:00:00,2022-11-02 02:00:00,2022-11-02 03:00:00,259.1,4435.81,4472,1456,100,1,3016,1456,407.5,991.99,2,24,402.307248829725,-0.0106381923442693,0.0000962739262805374,-0.00000177106453734921,0.00000000851353866495344,-0.0000000000117866268759304,405.492714641094,0.0148465556398024,0.000044584347584642,-0.00000099997940345503,0.00000000366468831060866,-0.0000000000037224381546404
5373,5438,2022-11-02 00:00:00,2022-11-02 01:00:00,2022-11-02 03:00:00,2022-11-02 04:00:00,275.16,4743.76,4789,1584,100,1,3205,1584,408.96,990.56,1,24,408.327755707548,-0.0202799352491729,0.000209886250264536,-0.00000262139192199909,0.0000000107087001179554,-0.0000000000136324586236056,406.80599074084,0.00801183739581601,0.000192476152568438,-0.00000214431935065986,0.00000000752639044548056,-0.00000000000843035086003579
