TimeStamp,DataID,DataID2,DeviceID,DeviceData
2022-10-03 19:17:30.802725,16223401,16300438,18,9.3 88 975.8 7.4 0
2022-10-03 20:17:31.025329,16227061,16304038,18,8.8 94 976.6 7.9 0
2022-10-03 21:17:29.859161,16230720,16307637,18,9 98 976.9 8.7 0
2022-10-03 22:17:29.830068,16234380,16311237,18,9.3 95 977.8 8.6 0
2022-10-03 23:17:29.818244,16238040,16314837,18,10.1 92 978.3 8.8 0
2022-10-04 00:17:29.833672,16241700,16318437,18,10.6 87 978.8 8.7 0
2022-10-04 01:17:29.822053,16245360,16322037,18,10.9 87 979.2 8.8 0
2022-10-04 02:17:29.822410,16249020,16325637,18,10.7 86 979.5 8.5 0
2022-10-04 03:17:29.828150,16252680,16329237,18,10.7 87 980 8.6 0
2022-10-04 04:17:29.802037,16256340,16332837,18,10.4 88 980.1 8.6 0
2022-10-04 05:17:29.837061,16260001,16336438,18,9.9 91 980.6 8.5 0
2022-10-04 06:17:29.812310,16263661,16340038,18,9.6 92 980.8 8.4 0
2022-10-04 07:17:29.828028,16267321,16343638,18,9.5 93 981.1 8.4 0
2022-10-04 08:17:30.032944,16270981,16347238,18,10.1 90 981.5 8.7 0
2022-10-04 09:17:29.821742,16274641,16350838,18,10.7 87 981.9 8.8 0
2022-10-04 10:17:29.828112,16278301,16354438,18,11.3 84 982.1 8.8 0
2022-10-04 11:17:29.834506,16281961,16358038,18,12.9 73 981.9 8.3 0
2022-10-04 12:17:29.810892,16285621,16361638,18,13.8 70 981.8 8.5 0
2022-10-04 13:17:29.820133,16289281,16365238,18,13.5 67 981.4 7.6 0
2022-10-04 14:17:30.321838,16292941,16368838,18,8.6 93 983.8 7.7 0
2022-10-04 15:17:31.033457,16296602,16372439,18,9.2 92 984.2 8 0
2022-10-04 16:17:30.821408,16300262,16376039,18,10 85 984.7 7.7 0
2022-10-04 17:17:30.858565,16303922,16379639,18,9.8 80 984.9 6.6 0
2022-10-04 18:17:30.830170,16307582,16383239,18,9.4 83 985.2 6.7 0
2022-10-04 19:17:30.809581,16311242,16386839,18,9.2 89 985.5 7.5 0
2022-10-04 20:17:30.816222,16314902,16390439,18,9.3 87 985.4 7.3 0
2022-10-04 21:17:31.021738,16318562,16394039,18,8.9 87 985.4 6.9 0
2022-10-04 22:17:30.802749,16322222,16397639,18,8.5 88 985.7 6.6 0
2022-10-04 23:17:30.807494,16325882,16401239,18,8.1 90 985.8 6.6 0
2022-10-05 00:17:30.805586,16329542,16404839,18,7.8 90 985.6 6.4 0
2022-10-05 01:17:30.811735,16333202,16408439,18,7.8 91 985.5 6.4 0
2022-10-05 02:17:30.813614,16336862,16412039,18,7.7 92 985.6 6.6 0
2022-10-05 03:17:30.800747,16340523,16415640,18,7.5 93 985.3 6.6 0
2022-10-05 04:17:30.809292,16344182,16419239,18,7.3 96 985.4 6.7 0
2022-10-05 05:17:30.815578,16347843,16422840,18,7 99 985.5 6.9 0
2022-10-05 06:17:30.814727,16351503,16426440,18,6.8 99 985.7 6.7 0
2022-10-05 07:17:30.789958,16355163,16430040,18,6.7 100 985.9 6.7 0
2022-10-05 08:17:30.991603,16358823,16433640,18,6.8 99 986.1 6.7 0
2022-10-05 09:17:30.810237,16362483,16437240,18,7 98 986.3 6.7 0
2022-10-05 10:17:30.791551,16366143,16440840,18,7.6 96 986.8 7.1 0
2022-10-05 11:17:30.797933,16369803,16444440,18,7.8 97 987.4 7.5 0
2022-10-05 12:17:30.795969,16373463,16448040,18,7.7 98 987.9 7.5 0
2022-10-05 13:17:30.816867,16377123,16451640,18,8.3 90 988.3 6.8 0
2022-10-05 14:17:30.328605,16380782,16455239,18,9.4 84 988.7 6.8 0
2022-10-05 15:17:30.842174,16384443,16458840,18,8.6 86 989.5 6.5 0
2022-10-05 16:17:30.830387,16388103,16462440,18,8.3 93 989.7 7.3 0
2022-10-05 17:17:30.823757,16391763,16466040,18,8 92 990.2 6.8 0
2022-10-05 18:17:30.830583,16395423,16469640,18,7.4 94 990.8 6.6 0
2022-10-05 19:17:30.821206,16399083,16473240,18,7.3 93 991.3 6.3 0
2022-10-05 20:17:30.831120,16402743,16476840,18,6.9 92 991.6 5.8 0
2022-10-05 21:17:31.045928,16406404,16480441,18,6.6 94 991.8 5.8 0
2022-10-05 22:17:30.842252,16410064,16484041,18,6.3 95 992 5.7 0
2022-10-05 23:17:30.848720,16413724,16487641,18,6.8 97 992.1 6.4 0
2022-10-06 00:17:30.837098,16417384,16491241,18,6.7 99 992.2 6.7 0
2022-10-06 01:17:30.842608,16421044,16494841,18,6.8 100 992.7 6.8 0
2022-10-06 02:17:30.848458,16424704,16498441,18,7 100 992.7 7 0
2022-10-06 03:17:30.855059,16428364,16502041,18,7.2 100 992.8 7.2 0
2022-10-06 04:17:30.824335,16432024,16505641,18,7.4 100 992.9 7.4 0
2022-10-06 05:17:30.845662,16435684,16509241,18,7.6 99 992.6 7.5 0
2022-10-06 06:17:30.841341,16439344,16512841,18,7.7 100 993 7.7 0
2022-10-06 07:17:30.834038,16443004,16516441,18,7.9 100 993.1 7.9 0
2022-10-06 08:17:31.027889,16446664,16520041,18,8.2 100 993.4 8.2 0
2022-10-06 09:17:30.846515,16450324,16523641,18,8.8 99 993.4 8.7 0
2022-10-06 10:17:30.805800,16453984,16527241,18,9.1 100 993.5 9.1 0
2022-10-06 11:17:30.831755,16457644,16530841,18,9.9 96 993.2 9.4 0
