DataID,TimeStamp,DeviceID,DeviceData
18737600,2022-11-01 00:17:30.085852,18,1.3 86 988.8 -0.6 0
18741200,2022-11-01 01:17:30.060856,18,1 89 989.5 -0.4 0
18744800,2022-11-01 02:17:30.086667,18,0.8 87 989.8 -0.9 0
18748400,2022-11-01 03:17:30.051917,18,0.7 86 990.3 -1.2 0
18752000,2022-11-01 04:17:30.052843,18,0.3 89 990.6 -1.1 0
18755600,2022-11-01 05:17:30.059789,18,0.2 85 990.8 -1.8 0
18759200,2022-11-01 06:17:30.076218,18,0 88 991.1 -1.6 0
18762800,2022-11-01 07:17:30.092167,18,0 86 991.1 -1.9 0
18766400,2022-11-01 08:17:30.073661,18,0 86 991.4 -1.9 0
18770000,2022-11-01 09:17:30.076835,18,0.5 86 991.6 -1.4 0
18773600,2022-11-01 10:17:30.060801,18,0.7 84 991.8 -1.5 0
18777201,2022-11-01 11:17:30.065297,18,0.9 84 991.9 -1.3 0
18780801,2022-11-01 12:17:30.073620,18,1.4 82 991.9 -1.2 0
18784401,2022-11-01 13:17:30.056081,18,1.5 82 991.8 -1.1 0
18788000,2022-11-01 14:17:29.624405,18,1.4 81 991.9 -1.3 0
18791601,2022-11-01 15:17:30.118556,18,1.4 81 991.9 -1.3 0
18795201,2022-11-01 16:17:30.116739,18,1.3 80 992.1 -1.6 0
18798801,2022-11-01 17:17:30.108189,18,1.4 81 992.1 -1.3 0
18802401,2022-11-01 18:17:30.120719,18,1.3 82 991.8 -1.3 0
18806001,2022-11-01 19:17:30.117071,18,1.5 83 991.9 -1 0
18809601,2022-11-01 20:17:30.107136,18,1.6 83 991.7 -0.8 0
18813201,2022-11-01 21:17:30.109044,18,1.5 85 991.5 -0.7 0
18816801,2022-11-01 22:17:30.114147,18,1.8 84 991.5 -0.4 0
18820401,2022-11-01 23:17:30.112646,18,1.9 84 991.4 -0.3 0
18824001,2022-11-02 00:17:30.121024,18,2 84 991.3 -0.4 0
18827601,2022-11-02 01:17:30.154209,18,1.8 85 991.3 -0.2 0
18831201,2022-11-02 02:17:30.112272,18,1.9 86 990.6 -0.1 0
18834801,2022-11-02 03:17:30.112387,18,1.9 86 990.3 0 0
18838402,2022-11-02 04:17:30.121852,18,1.8 85 990.1 -0.2 0
18842002,2022-11-02 05:17:30.173159,18,1.8 88 990 0.1 0
18845602,2022-11-02 06:17:30.110723,18,1.8 89 989.9 0.3 0
18849202,2022-11-02 07:17:30.108961,18,1.4 93 989.8 0.6 0
18852802,2022-11-02 08:17:30.127445,18,1.5 96 989.7 1 0
18856402,2022-11-02 09:17:30.126943,18,1.9 90 989.7 0.6 0
18860002,2022-11-02 10:17:30.113141,18,2.2 90 989.8 0.8 0
18863602,2022-11-02 11:17:30.173603,18,2.4 88 990 0.7 0
18867202,2022-11-02 12:17:30.108465,18,2.5 87 990 0.7 0
18870802,2022-11-02 13:17:30.113706,18,2.4 88 989.8 0.6 0
18874402,2022-11-02 14:17:29.599271,18,2.6 86 990 0.5 0
18878002,2022-11-02 15:17:30.142909,18,2.2 83 990.1 -0.2 0
18881602,2022-11-02 16:17:30.125627,18,1.4 83 990.4 -0.9 0
dummy,2022-11-02 17:17:26.362588,,
dummy,2022-11-02 18:17:26.355183,,
dummy,2022-11-02 19:17:26.380261,,
18892873,2022-11-02 19:25:20.892565,18,0 89 990.8 -1.5 0
18892942,2022-11-02 19:26:29.283056,18,0 89 990.8 -1.5 0
18892968,2022-11-02 19:26:56.060109,18,0 89 990.9 -1.5 0
18893090,2022-11-02 19:28:58.052922,18,0 89 990.9 -1.5 0
18896002,2022-11-02 20:17:30.119969,18,-0.1 88 990.9 -1.6 0
18899602,2022-11-02 21:17:30.116319,18,-0.1 90 991.2 -1.4 0
18903203,2022-11-02 22:17:30.171293,18,-0.3 90 991.2 -1.5 0
18906803,2022-11-02 23:17:30.134765,18,-0.5 91 991.4 -1.6 0
18910403,2022-11-03 00:17:30.107021,18,-0.8 92 991.6 -1.7 0
18914003,2022-11-03 01:17:30.150577,18,-0.9 92 991.7 -1.8 0
18917603,2022-11-03 02:17:30.113505,18,-1 93 991.7 -1.9 0
18921203,2022-11-03 03:17:30.174231,18,-1 93 991.9 -1.8 0
18924803,2022-11-03 04:17:30.138152,18,-1 94 992.1 -1.7 0
18928403,2022-11-03 05:17:30.128912,18,-1.4 94 992.1 -2.1 0
18932003,2022-11-03 06:17:30.111639,18,-1.5 94 992.1 -2.2 0
18935603,2022-11-03 07:17:30.164902,18,-1.9 94 992.3 -2.5 0
18939203,2022-11-03 08:17:30.171231,18,-1.6 94 992.4 -2.2 0
18942803,2022-11-03 09:17:30.142031,18,-1.8 94 992.5 -2.4 0
18946403,2022-11-03 10:17:30.118106,18,-1.6 94 992.7 -2.3 0
18950003,2022-11-03 11:17:30.128139,18,-1.4 93 992.9 -2.3 0
18953603,2022-11-03 12:17:30.129314,18,-1.5 92 992.8 -2.4 0
18957203,2022-11-03 13:17:30.134850,18,-1.2 91 992.7 -2.3 0
18960803,2022-11-03 14:17:29.640689,18,-1.1 91 992.7 -2.2 0
18964403,2022-11-03 15:17:30.203178,18,-1 91 992.8 -2.1 0
18968004,2022-11-03 16:17:30.172667,18,-1 93 992.8 -1.8 0
18971604,2022-11-03 17:17:30.171850,18,-1.2 93 992.9 -1.9 0
18975204,2022-11-03 18:17:30.219698,18,-1.2 92 993.1 -2.1 0
18978804,2022-11-03 19:17:30.152660,18,-1.2 93 993 -2 0
18982404,2022-11-03 20:17:30.150806,18,-1.2 92 993 -2.1 0
18986004,2022-11-03 21:17:30.177468,18,-1.4 93 993 -2.1 0
18989604,2022-11-03 22:17:30.174571,18,-1.6 93 992.8 -2.3 0
18993204,2022-11-03 23:17:30.178573,18,-1.6 94 992.8 -2.3 0
18996804,2022-11-04 00:17:30.172440,18,-1.7 96 992.7 -2.2 0
19000403,2022-11-04 01:17:29.461210,18,-1.7 95 992.6 -2.3 0
19004004,2022-11-04 02:17:30.082441,18,-1.8 95 992.6 -2.3 0
19007604,2022-11-04 03:17:30.163799,18,-1.8 96 992.8 -2.2 0
19011204,2022-11-04 04:17:30.206777,18,-2 97 992.5 -2.4 0
19014804,2022-11-04 05:17:30.142521,18,-2.1 97 992.6 -2.4 0
19018404,2022-11-04 06:17:30.156299,18,-2.1 97 992.6 -2.4 0
19022004,2022-11-04 07:17:30.207758,18,-2.2 97 992.6 -2.5 0
19025604,2022-11-04 08:17:30.157506,18,-1.8 93 992.9 -2.5 0
19029204,2022-11-04 09:17:30.155717,18,-1.6 93 992.9 -2.5 0
19032804,2022-11-04 10:17:30.141552,18,-1.1 91 993.4 -2.2 0
19036405,2022-11-04 11:17:30.194366,18,-0.7 91 993.4 -1.7 0
19040005,2022-11-04 12:17:30.173490,18,-0.4 91 993.3 -1.4 0
19043605,2022-11-04 13:17:30.177088,18,-0.2 92 993.2 -1.1 0
19047204,2022-11-04 14:17:29.691888,18,-0.1 92 993.1 -1 0
19050805,2022-11-04 15:17:30.195792,18,0 92 993.5 -0.9 0
19054405,2022-11-04 16:17:30.179902,18,0.2 92 993.7 -0.8 0
19058005,2022-11-04 17:17:30.208442,18,0.2 94 994.1 -0.5 0
19061605,2022-11-04 18:17:30.206153,18,0.2 95 994.5 -0.3 0
19065205,2022-11-04 19:17:30.228224,18,0.4 95 994.9 -0.2 0
