DataID,TimeStamp,DeviceID,DeviceData
16325637,2022-10-04 02:17:29.822410,18,10.7 86 979.5 8.5 0
16329237,2022-10-04 03:17:29.828150,18,10.7 87 980 8.6 0
16332837,2022-10-04 04:17:29.802037,18,10.4 88 980.1 8.6 0
16336438,2022-10-04 05:17:29.837061,18,9.9 91 980.6 8.5 0
16340038,2022-10-04 06:17:29.812310,18,9.6 92 980.8 8.4 0
16343638,2022-10-04 07:17:29.828028,18,9.5 93 981.1 8.4 0
16347238,2022-10-04 08:17:30.032944,18,10.1 90 981.5 8.7 0
16350838,2022-10-04 09:17:29.821742,18,10.7 87 981.9 8.8 0
16354438,2022-10-04 10:17:29.828112,18,11.3 84 982.1 8.8 0
16358038,2022-10-04 11:17:29.834506,18,12.9 73 981.9 8.3 0
16361638,2022-10-04 12:17:29.810892,18,13.8 70 981.8 8.5 0
16365238,2022-10-04 13:17:29.820133,18,13.5 67 981.4 7.6 0
16368838,2022-10-04 14:17:30.321838,18,8.6 93 983.8 7.7 0
16372439,2022-10-04 15:17:31.033457,18,9.2 92 984.2 8 0
16376039,2022-10-04 16:17:30.821408,18,10 85 984.7 7.7 0
16379639,2022-10-04 17:17:30.858565,18,9.8 80 984.9 6.6 0
16383239,2022-10-04 18:17:30.830170,18,9.4 83 985.2 6.7 0
16386839,2022-10-04 19:17:30.809581,18,9.2 89 985.5 7.5 0
16390439,2022-10-04 20:17:30.816222,18,9.3 87 985.4 7.3 0
16394039,2022-10-04 21:17:31.021738,18,8.9 87 985.4 6.9 0
16397639,2022-10-04 22:17:30.802749,18,8.5 88 985.7 6.6 0
16401239,2022-10-04 23:17:30.807494,18,8.1 90 985.8 6.6 0
16404839,2022-10-05 00:17:30.805586,18,7.8 90 985.6 6.4 0
16408439,2022-10-05 01:17:30.811735,18,7.8 91 985.5 6.4 0
16412039,2022-10-05 02:17:30.813614,18,7.7 92 985.6 6.6 0
16415640,2022-10-05 03:17:30.800747,18,7.5 93 985.3 6.6 0
16419239,2022-10-05 04:17:30.809292,18,7.3 96 985.4 6.7 0
16422840,2022-10-05 05:17:30.815578,18,7 99 985.5 6.9 0
16426440,2022-10-05 06:17:30.814727,18,6.8 99 985.7 6.7 0
16430040,2022-10-05 07:17:30.789958,18,6.7 100 985.9 6.7 0
16433640,2022-10-05 08:17:30.991603,18,6.8 99 986.1 6.7 0
16437240,2022-10-05 09:17:30.810237,18,7 98 986.3 6.7 0
16440840,2022-10-05 10:17:30.791551,18,7.6 96 986.8 7.1 0
16444440,2022-10-05 11:17:30.797933,18,7.8 97 987.4 7.5 0
16448040,2022-10-05 12:17:30.795969,18,7.7 98 987.9 7.5 0
16451640,2022-10-05 13:17:30.816867,18,8.3 90 988.3 6.8 0
16455239,2022-10-05 14:17:30.328605,18,9.4 84 988.7 6.8 0
16458840,2022-10-05 15:17:30.842174,18,8.6 86 989.5 6.5 0
16462440,2022-10-05 16:17:30.830387,18,8.3 93 989.7 7.3 0
16466040,2022-10-05 17:17:30.823757,18,8 92 990.2 6.8 0
